Date,R_benchmark_book,nav,drawdown,hs_var_return,var_breach,realized_vol_20d,gold_alarm,alarm_score,dashboard_state,recommended_action
2010-01-05,0.0058489818167098,100.58489818167098,0.0,,0,,0,0,Green,Normal monitoring
2010-01-06,0.016002348933605807,102.19449281982529,0.0,,0,,0,0,Green,Normal monitoring
2010-01-07,-0.004651137514219974,101.71917218052431,-0.004651137514219972,,0,,0,0,Green,Normal monitoring
2010-01-08,-0.001719049851767337,101.54431185266549,-0.006362191828732877,,0,,0,0,Green,Normal monitoring
2010-01-11,-0.004927957688783903,101.04390578031885,-0.011258796905377122,,0,,0,0,Green,Normal monitoring
2010-01-12,-0.020840563649508887,98.93809383050913,-0.03186472088136261,,0,,0,0,Green,Normal monitoring
2010-01-13,-0.012562889537835619,97.69514548663244,-0.044027297450611624,,0,,0,0,Green,Normal monitoring
2010-01-14,-0.006276813951823226,97.08193123441654,-0.05002776024753586,,0,,0,0,Green,Normal monitoring
2010-01-15,-0.009165481874642504,96.1921285533322,-0.05873471359240068,,0,,0,0,Green,Normal monitoring
2010-01-19,0.0067209332769626135,96.83862943110816,-0.05240853240653409,,0,,0,0,Green,Normal monitoring
2010-01-20,-0.017018891895771382,95.19054326548546,-0.06853548915486263,,0,,0,0,Green,Normal monitoring
2010-01-21,-0.02306262383917095,92.99519957310724,-0.0900175047880214,,0,,0,0,Green,Normal monitoring
2010-01-22,-0.023744415930912564,90.78708287486516,-0.1116245076441843,,0,,0,0,Green,Normal monitoring
2010-01-25,0.011739154538361826,91.85284647082027,-0.10119573045132613,,0,,0,0,Green,Normal monitoring
2010-01-26,-0.005442951480070743,91.35289588417321,-0.1060878784805599,,0,,0,0,Green,Normal monitoring
2010-01-27,-0.014430306892171157,90.03464556107602,-0.11898730472871732,,0,,0,0,Green,Normal monitoring
2010-01-28,-0.0015238711000726678,89.89744436670021,-0.12032985451383837,,0,,0,0,Green,Normal monitoring
2010-01-29,-0.009332168653842222,89.05850625432076,-0.12853908467126518,,0,,0,0,Green,Normal monitoring
2010-02-01,0.02282732487010701,91.09147370903459,-0.10864596324545539,,0,,0,0,Green,Normal monitoring
2010-02-02,0.0395573057480625,94.69480698558446,-0.07338639908378619,,0,0.25495488644020114,0,0,Green,Normal monitoring
2010-02-03,-0.0018423402182277864,94.5203469342176,-0.07509353658751106,,0,0.25302875719873813,0,0,Green,Normal monitoring
2010-02-04,-0.05121012174609943,89.67994846023277,-0.12245810918261879,,0,0.2951139206064024,0,0,Green,Normal monitoring
2010-02-05,-0.035849182204677886,86.46499564777575,-0.15391726831876873,,0,0.31297597396851934,0,0,Green,Normal monitoring
2010-02-08,0.007444619691821619,87.10869465702847,-0.14761850415358435,,0,0.31704218737576373,0,0,Green,Normal monitoring
2010-02-09,0.02840456251285624,89.58297901982732,-0.12340698067001299,,0,0.3416759135193179,0,0,Green,Normal monitoring
2010-02-10,0.005668138038395988,90.09074771080245,-0.11843833043295626,,0,0.3391262870504842,0,0,Green,Normal monitoring
2010-02-11,0.007006033497238936,90.72192650705561,-0.11226207984608783,,0,0.34003379500786646,0,0,Green,Normal monitoring
2010-02-12,-0.002055520027259483,90.5354457702088,-0.11408684291992188,,0,0.3399028466314455,0,0,Green,Normal monitoring
2010-02-16,0.037425268830336506,93.92375916683321,-0.08093130485586786,,0,0.3682296201612349,0,0,Green,Normal monitoring
2010-02-17,0.007765703386259916,94.65314322144535,-0.07379408997778159,,0,0.3685363059602407,0,0,Green,Normal monitoring
2010-02-18,0.01960468087096284,96.50878788773532,-0.05563611869099627,,0,0.37019464409426295,0,0,Green,Normal monitoring
2010-02-19,0.0052574803271487605,97.01618094145206,-0.050671144163344284,,0,0.35932238981942866,0,0,Green,Normal monitoring
2010-02-22,0.005357132209520456,97.5359094492182,-0.045585463972314444,,0,0.3458747747799361,0,0,Green,Normal monitoring
2010-02-23,-0.017452009792109445,95.83371180242814,-0.062241915800801184,,0,0.3524669164592435,0,0,Green,Normal monitoring
2010-02-24,0.010815045000718271,96.87015770815725,-0.05210001992039959,,0,0.3524183426098905,0,0,Green,Normal monitoring
2010-02-25,-0.02332008067581472,94.61113781532413,-0.07420512392845913,,0,0.3596460309867535,0,0,Green,Normal monitoring
2010-02-26,0.016896625604885026,96.20974678904184,-0.05856231452055727,,0,0.3626890445999346,0,0,Green,Normal monitoring
2010-03-01,-0.009062684601537611,95.33782819829895,-0.06709426733605917,,0,0.36256236344027554,0,0,Green,Normal monitoring
2010-03-02,0.016638043162204838,96.92406309885313,-0.05157254148972812,,0,0.35886986611776817,0,0,Green,Normal monitoring
2010-03-03,0.013593548489079222,98.24160505034597,-0.03868004684409443,,0,0.33518104103869306,0,0,Green,Normal monitoring
2010-03-04,-0.008999351950697572,97.35749427029647,-0.047331303439772654,,0,0.3372410140712524,0,0,Green,Normal monitoring
2010-03-05,0.01704262004735867,99.01672105390803,-0.03109533281328425,,0,0.27684089725401395,0,0,Green,Normal monitoring
2010-03-08,0.007233778473657539,99.73298607919995,-0.024086491088762596,,0,0.23069437916746388,0,0,Green,Normal monitoring
2010-03-09,-0.006983412113414643,99.03650953610745,-0.030901697308538423,,0,0.23616387157564553,0,0,Green,Normal monitoring
2010-03-10,0.007107700848535733,99.74043141897324,-0.024013636480183842,,0,0.2216693520860246,0,0,Green,Normal monitoring
2010-03-11,-0.002488239340262015,99.49225335370186,-0.026442124145452994,,0,0.22345954321005024,0,0,Green,Normal monitoring
2010-03-12,-0.011148100673561416,98.3831036970753,-0.03729544535701823,,0,0.23055159213139736,0,0,Green,Normal monitoring
2010-03-15,-0.019074840953220148,96.50646164156943,-0.05565888162177368,,0,0.24415243916276297,0,0,Green,Normal monitoring
2010-03-16,0.014403375405382094,97.89648043763806,-0.042057181983033765,,0,0.21320193108065727,0,0,Green,Normal monitoring
2010-03-17,0.03653036969911389,101.47267506026705,-0.007063176690262907,,0,0.24527156805436695,0,0,Green,Normal monitoring
2010-03-18,-0.005873679642198555,100.87665707452614,-0.012895369495326658,,0,0.23983128126982017,0,0,Green,Normal monitoring
2010-03-19,-0.019832158394321033,98.87605523313452,-0.032471784879263055,,0,0.25198821199406224,0,0,Green,Normal monitoring
2010-03-22,0.008228492626907407,99.68965612459806,-0.024510486094817208,,0,0.25284093977765754,0,0,Green,Normal monitoring
2010-03-23,0.001984570669150309,99.88749729216062,-0.022574558217457352,,0,0.24303370747146175,0,0,Green,Normal monitoring
2010-03-24,-0.013473185391517893,98.5416945228486,-0.035743592400979685,,0,0.2468561114298601,0,0,Green,Normal monitoring
2010-03-25,-0.00012563130104573098,98.52931460155845,-0.03586473318800798,,0,0.2297207430235113,0,0,Green,Normal monitoring
